#name		rad	stroke	pos		num	max	sum	minalloc	cat
Feather		124	6	A|B|R		34	1088	1636	1.6	occur:A
Old		125	6	A		10	725	2105	1.2	occur:A
And		126	6	IN		4	129	164	0	first:IN
Plow		127	6	L		14	350	370	1.2	all:L
Ear		128	6	L|B		34	1080	1994	1.4	all:L|B
Brush		129	6	R|IN		6	127	127	1.2	occur:R
Meat		130	6	L|B		168	5834	7291	1.8	all:L|B
Minister	131	6	L		8	449	463	1.2	all:L
Self		132	6	A		4	382	1606	0.95	occur:A
Arrive		133	6	L|B		6	545	928	1.4	all:L|B
Mortar		134	6	A|SLR|B		14	224	308	1	occur:SLR
Tongue		135	6	L		12	575	611	1.6	all:L
Oppose		136	6	B		3	128	257	0	first:B
Boat		137	6	L		45	1166	1435	3	asis:Boat
Stopping	138	6	R		3	255	683	0	occur:R
Color		139	6	R		4	247	503	1.2	occur:R
Grass		140	6	A		484	6560	8740	3.4	asis:Grass
Tiger		141	6	SAL		16	512	534	1.2	occur:SAL
Insect		142	6	L|B		212	1050	1141	1.6	all:L|B
Blood		143	6	L		6	454	518	1.2	all:L
WalkEnclosure	144	6	SLR		13	1187	3976	1.2	occur:SLR
Clothes		145	6	L|B|SAB		131	3248	6210	1.4	occur:SAB
West		146	6	A		10	756	2248	0.85714	occur:A
See		147	7	R|B		27	1927	6080	1.4	occur:R
Horn		148	7	L|B		20	597	2015	1.2	all:L|B
Speech		149	7	L|B		221	11679	25880	2	all:L|B
Valley		150	7	L|R		10	247	308	1.4	occur:R
Bean		151	7	B|L		10	462	490	1.2	first:B
Pig		152	7	B|L		12	485	907	1.4	first:B
Badger		153	7	L		19	2	2	1.4	all:L
Shell		154	7	L|B		84	5829	8667	1.6	all:L|B
Red		155	7	L		6	382	501	1.4	all:L
Run		156	7	SBL		15	1013	2828	1.2	occur:SBL
Foot		157	7	L		100	1424	2360	3	asis:Foot
Body		158	7	L		17	239	546	1.6	all:L
Cart		159	7	L|B		73	2614	4237	1.4	all:L|B
Bitter		160	7	R|SLR		12	383	733	1.4	occur:SLR
Morning		161	7	IN		4	367	388	0	first:IN
Walk		162	7	SBL		146	9482	24905	1.8	occur:SBL
City		163	7	R		82	1928	4069	1.4	occur:R
Wine		164	7	L		61	1734	2517	1.4	all:L
Distinguish	165	7	L		5	128	223	1	all:L
Village		166	7	B		5	964	2115	1	first:B
Gold		167	8	L|B		300	4792	6168	3.4	asis:Gold
Long		168	8	IN		3	255	905	0.9	first:IN
Gate		169	8	SA		62	1835	6152	1.4	occur:SA
Mound		170	8	L		85	5049	8364	1.8	all:L
Slave		171	8	R		3	127	128	0.93333	occur:R
ShortTailedBird	172	8	R|A|B		34	1455	2719	1.2	occur:A
Rain		173	8	A		51	2151	3516	1.4	occur:A
Blue		174	8	L|R		8	493	613	1.4	occur:R
Wrong		175	8	B		3	223	681	0	first:B
Face		176	9	L		4	239	946	0	all:L
Leather		177	9	L		47	360	389	1.4	all:L
TannedLeather	178	9	L|R		11	2	2	0.96	occur:R
Leek		179	9	IN		4	0	0	1.2	first:IN
Sound		180	9	L|B		8	509	828	1.2	all:L|B
Leaf		181	9	R		70	3808	6958	1.4	occur:R
Wind		182	9	SBL|R|B		22	247	434	1.4	occur:SBL
Fly		183	9	IN		2	231	491	0	first:IN
Eat		184	9	L|B|R		78	1935	3053	1.8	occur:R
Head		185	9	IN		3	247	404	1.2	first:IN
Fragrant	186	9	L		6	127	155	1.6	all:L
Horse		187	10	L|B		87	1642	2521	2	all:L|B
Bone		188	10	L		26	344	367	1.2	all:L
Tall		189	10	L		4	247	757	1	all:L
Hair		190	10	A		32	128	148	1.6	occur:A
Fight		191	10	SA		10	127	150	1.2	occur:SA
SacrificialWine	192	10	IN		2	1	4	0	first:IN
Cauldron	193	10	IN		4	127	161	0	first:IN
Ghost		194	10	SBL|R|B		16	638	731	1.2	occur:SBL
Fish		195	11	L		159	604	650	1.8	all:L
Bird		196	11	R|B		143	867	950	1.8	occur:R
Salt		197	11	L		6	1	1	1.2	all:L
Deer		198	11	A		18	179	206	1.4	occur:A
Wheat		199	11	SBL		14	266	275	1.4	occur:SBL
Hemp		200	11	A		6	129	146	1.2	occur:A
Yellow		201	12	IN		3	247	265	0.9	first:IN
Millet		202	12	L		4	1	1	0	all:L
Black		203	12	L|B		21	380	476	1.8	all:L|B
Embroidery	204	12	L		3	0	0	0	all:L
Frog		205	13	B		7	0	0	1	first:B
Tripod		206	13	IN		2	255	257	0	first:IN
Drum		207	13	IN		4	127	130	0.85714	first:IN
Rat		208	13	SBL		7	1	1	1.2	occur:SBL
Nose		209	14	L		6	239	255	1.2	all:L
Even		210	14	SA		4	1	1	0.95	occur:SA
Tooth		211	15	L		26	128	143	1.8	all:L
Dragon		212	16	IN		5	5	7	1	first:IN
Turtle		213	16	L		4	10	10	1.2	all:L
Flute		214	17	IN		2	0	0	0	first:IN
